	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	mean(abundance)	total abundance
MAG1	1614	363	133867	345	7561	540	939	1217	16845	512	45737	17305	64824	22436.08	291669
MAG2	262249	2251	587582	287	23816	523	1313	5255	9724	852	213568	54649	146900	100689.92	1308969
MAG3	26727	783	258376	686	25197	987	907	1598	19001	1431	28726	14754	31613	31598.92	410786
MAG4	162119	19	9763	14	1608	12	1	151	29490	935	230014	63339	116709	47244.15	614174
MAG5	938	1350	499742	505	6433	116	93	308	1739	582	108501	7857	22952	50085.85	651116
MAG6	201	6	67783	6	29	0	0	42	137	52	16605	28534	29935	11025.38	143330
MAG7	340	1	49467	19	145	0	0	181	1709	420	74453	109330	58972	22695.15	295037
MAG8	4142	28	3242	4	1142	0	2	136	2137	226	66040	89920	159123	25087.85	326142
MAG9	16173	595	273667	585	30769	480	19	45	20362	7	11234	3858	12811	28508.08	370605
MAG10	75	113	321713	825	7016	427	169	178	323	1796	178119	4532	2312	39815.23	517598
MAG11	83971	1701	668391	300	94649	590	1185	547	10295	623	113996	241864	518802	133608.77	1736914
MAG12	289	0	685	7	658	0	15	197	514	224	90154	95256	44235	17864.15	232234
MAG13	20770	179	27798	148	4122	66	117	443	25783	879	761700	110175	244399	92044.54	1196579
MAG14	85031	54	39545	44	27543	14	11	106	609	28	70365	7639	839115	82315.69	1070104
MAG15	393	12	1027	6	87	0	0	18	61	0	164031	9838	2811	13714.15	178284
MAG16	602	0	697	8	9695	73	556	3892	21882	1539	278073	10718	7624	25796.85	335359
MAG17	19765	2470	684192	2756	68035	4638	9619	16280	167281	29068	2910098	455848	1741022	470082.46	6111072
MAG18	211	10	34762	4	84	7	0	41	6292	1635	299195	9437	8493	27705.46	360171
MAG19	168610	1278	181336	325	47786	7	361	606	20554	65	113506	189905	224363	72977.08	948702
MAG20	1057	10	21576	15	720	15	17	469	5016	1149	164834	278242	1123679	122830.69	1596799
MAG21	329209	4757	768796	1190	116396	1212	649	4996	101038	3993	1426925	1145275	1699645	431083.15	5604081
MAG22	134	0	44723	24	82	0	0	175	1453	406	68973	106255	55987	21400.92	278212
MAG23	2792	43	31695	22	1473	23	14	619	6537	1587	197019	356852	1381794	152343.85	1980470
MAG24	96973	691	115272	192	27079	13	289	1217	16712	332	111831	403479	142912	70537.85	916992
MAG25	4266	209	9535	46	6563	4	94	515	6189	225	216680	130055	596953	74718.00	971334
MAG26	4650	108	11785	7	1687	8	6	441	1459	2120	315167	79865	479799	69007.85	897102
MAG27	16688	318	82804	77	11196	118	234	308	5274	422	69779	93278	1381395	127837.77	1661891
MAG28	160878	56	209945	239	44203	244	1	16	13	2	383	241	410	32048.54	416631
MAG29	340037	4830	765047	1216	118020	1329	534	4843	99732	3538	1365057	1126895	1659620	422361.38	5490698
MAG30	350651	2126	403325	689	81985	37	701	1020	26410	173	148641	274186	295122	121928.15	1585066
MAG31	660757	4350	1411711	1691	63101	2829	3632	7526	42600	7266	948755	80020	343495	275210.23	3577733
MAG32	325433	4655	833886	1213	120368	1090	775	4699	93824	3260	1257289	1074728	1593470	408822.31	5314690
MAG33	5388	547	415051	392	6937	13	156	339	3013	277	79758	35584	26039	44114.92	573494
MAG34	73026	1145	370295	429	21695	128	136	2283	59865	2495	474606	1247425	1342303	276602.38	3595831
MAG35	214	808	703734	1548	31802	363	16	27	108	0	52174	1030	7687	61500.85	799511
MAG36	2187	525	198379	506	10614	719	1254	1686	22818	656	62030	22665	85258	31484.38	409297
mean(abundance)	89682.22222	1010.861111	284477.6111	454.7222222	28341.55556	461.8055556	661.5277778	1733.888889	23522.19444	1910.416667	353722.6667	221689.8056	458127.3056		
total abundance	3228560	36391	10241194	16370	1020296	16625	23815	62420	846799	68775	12734016	7980833	16492583		
